link,title,description,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
"https://www.irena.org/Digital-content/Digital-Story/2019/Apr/How-To-Transform-Energy-System-And-Reduce-Carbon-Emissions#:~:text=Renewable%20power%20can%20immediately%20%E2%80%93%20and,reduce%20global%20CO2%20emissions.&text=The%20world's%20energy%20system%20is,new%20power%20generation%20capacity%20today. ",How to transform the energy system and reduce carbon emission,Electricity from renewables must underpin our future energy system. Renewable power can immediately - and significantly - reduce global CO2 emissions. ,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://press.un.org/en/2018/gaef3501.doc.htm,"Renewable Energy Sources Cut Carbon Emissions, Efficiently Increase Electricity Output Worldwide, Delegates Say in Second Committee","Renewable energy sources are the least expensive options in boosting electricity access, reducing air pollution and cutting carbon dioxide emissions worldwide",1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://archive.ipcc.ch/pdf/special-reports/srren/SRREN_Full_Report.pdf,Renewable Energy Sources and Climate Change Mitigation ,"The IPCC Special Report on Renewable Energy Sources and Climate Change Mitigation (SRREN) provides a comprehensive review concerning these sources and technologies, the relevant costs and benefi ts, and their potential role in a portfolio of mitigation options.",1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://www.footprintnetwork.org/our-work/climate-change/,Climate Change,"The Ecological Footprint framework addresses climate change in a comprehensive way beyond measuring carbon emissions. It shows how carbon emissions compare and compete with other human demands on our planet, such as food, fibers, timber, and land for dwellings and roads.",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.tnc.org.hk/en-hk/what-we-do/our-priorities/-tackle-climate-change/?gad_source=1&gclid=CjwKCAjwxLKxBhA7EiwAXO0R0BDSYSDSrINZ5Ndba0EQUjOyWACjc9SQ46lTcB6eZiADY-knuxEPlxoCy08QAvD_BwE,Climate Change,"Across the globe, TNC is tackling the climate challenge using natural solutions, such as the conservation and restoration of forests, to reduce carbon dioxide emissions and help communities adapt.",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.un.org/en/climatechange/science/climate-issues/water?gad_source=1&gclid=CjwKCAjwxLKxBhA7EiwAXO0R0M_BAbRkoHRP6rXRUsgAGmXNNqE3F7eVKG4iFW5XUgPZPja7lUkqsBoCmNUQAvD_BwE,Water - at the center of the climate crisis,"Water and climate change are inextricably linked. Climate change affects the world�s water in complex ways. From unpredictable rainfall patterns to shrinking ice sheets, rising sea levels, floods and droughts � most impacts of climate change come down to water�water�",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://www.oceansewagealliance.org/knowledge-hub/the-problem/climage-change-and-wastewater/climate-change-impacts-on-wastewater-treatment#:~:text=Climate%20Change%20Impacts%20on%20Wastewater%20Treatment,-So%20much%20of&text=When%20snow%20fails%20to%20form,in%20a%20number%20of%20ways.&text=Wastewater%20treatment%20plants%20are%20designed,water%20on%20a%20daily%20basis.",Climate Change Impacts on Wastewater Treatment,"So much of climate change is about the distribution and redistribution of water: sea-level, rainfall patterns, frequency and intensity of storms, and accumulation � or not � of snow",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sciencedirect.com/science/article/pii/S2212096320300528,Impacts and implications of climate change on wastewater systems: A New Zealand perspective,"Wastewater systems provide a critical service to society, and their vulnerability to the impacts of climate change. places the health and sanitation of many communities at risk.",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.weforum.org/agenda/2022/10/wastewater-corporations-climate-goals/,How tackling wastewater can help corporations achieve climate goals,"Climate change is causing extreme water-related natural disasters such as flooding and drought. Already overburdened infrastructure is struggling to cope, leaving many without clean, safe water. Decentralising wastewater treatment in rural areas could provide a cost-effective, climate friendly solution.",1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://lanxess.com/en/Sustainability/Stories/Climate-Water-Treatment,How water treatment adresses climate change,Climate change exacerbates water scarcity. Untreated wastewater emits greenhouse gases. These are just some of the ways in which water and climate change are inextricably linked.,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
